word,rank,frequency
silla,825,1908
tomando,826,1907
habla,827,1906
ánimo,828,1904
echó,829,1901
conozco,830,1901
comprender,831,1898
juventud,832,1896
calma,833,1895
rico,834,1894
oyó,835,1893
gentes,836,1892
creer,837,1888
posición,838,1881
figura,839,1877
cadáver,840,1872
conducta,841,1870
respecto,842,1866
cuánto,843,1865
pensó,844,1862
servicio,845,1861
teatro,846,1861
diablo,847,1860
víctima,848,1859
verdadero,849,1858
sacó,850,1854
frío,851,1848
miserable,852,1848
enemigos,853,1847
queda,854,1845
tenga,855,1844
fácil,856,1842
amistad,857,1841
conocido,858,1837
conoce,859,1836
querida,860,1836
llamaba,861,1831
partido,862,1831
profunda,863,1829
sentir,864,1826
seno,865,1825
quedaba,866,1825
negra,867,1825
sacerdote,868,1823
amaba,869,1818
negocios,870,1812
compañero,871,1811
quiera,872,1809
multitud,873,1808
amores,874,1805
atrás,875,1805
deber,876,1796
viendo,877,1796
varias,878,1793
vano,879,1791
españa,880,1790
clara,881,1789
principal,882,1785
resolución,883,1784
niños,884,1783
triunfo,885,1782
recibido,886,1782
loco,887,1777
cartas,888,1774
salía,889,1773
haga,890,1773
única,891,1769
hermanos,892,1766
vuelto,893,1763
quisiera,894,1756
llegaba,895,1752
piedra,896,1748
libro,897,1748
tristeza,898,1746
virgen,899,1746
indios,900,1745
carruaje,901,1745
hacerlo,902,1744
encima,903,1744
presidente,904,1740
acción,905,1740
tomado,906,1739
recibió,907,1737
criatura,908,1729
música,909,1728
público,910,1726
llamó,911,1725
izquierda,912,1723
rodillas,913,1720
satisfacción,914,1719
río,915,1719
policía,916,1719
lanza,917,1719
ley,918,1718
desgraciado,919,1717
soledad,920,1712
segunda,921,1711
solamente,922,1706
esfuerzo,923,1702
pensamientos,924,1701
cuyos,925,1700
difícil,926,1699
creyó,927,1698
moral,928,1697
inútil,929,1696
fisonomía,930,1695
criado,931,1695
vive,932,1694
entusiasmo,933,1691
combate,934,1690
herido,935,1689
deseos,936,1686
cuyas,937,1681
precisamente,938,1679
voces,939,1679
mandó,940,1677
enferma,941,1677
prosiguió,942,1675
luna,943,1674
soldado,944,1671
jardín,945,1671
doce,946,1670
emoción,947,1670
noticias,948,1670
españoles,949,1668
ministro,950,1668
venganza,951,1666
parecían,952,1664
salud,953,1664
hacerse,954,1661
tiempos,955,1652
trataba,956,1650
llegaron,957,1648
sufrir,958,1644
marqués,959,1644
correr,960,1643
cuadro,961,1640
curiosidad,962,1639
peso,963,1638
escuchar,964,1636
llamar,965,1635
señoras,966,1633
anterior,967,1632
llevó,968,1631
peor,969,1630
desesperación,970,1626
vi,971,1625
completo,972,1624
plan,973,1624
recuerdos,974,1622
fiesta,975,1621
espera,976,1621
volvía,977,1618
llorar,978,1606
propósito,979,1605
basta,980,1598
terror,981,1598
salvador,982,1597
salido,983,1594
supuesto,984,1591
dirigiéndose,985,1590
pocas,986,1585
quedado,987,1583
interrumpió,988,1582
través,989,1581
orgullo,990,1581
herida,991,1577
espada,992,1574
inteligencia,993,1572
arriba,994,1570
resultado,995,1570
república,996,1570
cien,997,1569
circunstancias,998,1567
leer,999,1565
corte,1000,1565
